x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,target
154,178,281,281,250,344,454,500,619,659,470
147,179,225,225,240,333,384,475,688,654,610
166,166,236,236,251,333,450,418,678,643,602
153,186,257,257,249,371,452,510,782,631,620
144,172,259,259,250,343,465,515,606,722,496
154,214,234,234,239,314,434,473,564,743,564
158,184,231,231,244,359,395,493,613,539,544
162,207,229,229,230,314,356,535,528,518,641
136,160,236,236,221,263,322,571,571,528,561
140,167,235,235,255,369,415,541,686,648,637
142,185,235,235,249,350,423,544,788,728,651
181,203,229,229,262,344,404,540,657,643,634
178,281,281,250,344,454,500,619,659,470,496
179,225,225,240,333,384,475,688,654,610,536
166,236,236,251,333,450,418,678,643,602,498
186,257,257,249,371,452,510,782,631,620,493
172,259,259,250,343,465,515,606,722,496,484
214,234,234,239,314,434,473,564,743,564,468
184,231,231,244,359,395,493,613,539,544,424
207,229,229,230,314,356,535,528,518,641,470
160,236,236,221,263,322,571,571,528,561,512
167,235,235,255,369,415,541,686,648,637,513
185,235,235,249,350,423,544,788,728,651,546
203,229,229,262,344,404,540,657,643,634,443
